n,effort_row,rep,estimator,p,α,χ,h,a,r,t
2,80,1,standard,0.3,1.0,0.05,5000,1.0,1.0,7
2,81,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,82,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,83,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,84,1,standard,0.3,1.0,0.05,5000,1.0,1.0,9
2,85,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,86,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,87,1,standard,0.3,1.0,0.05,5000,1.0,1.0,9
2,88,1,standard,0.3,1.0,0.05,5000,1.0,1.0,6
2,89,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,90,1,standard,0.3,1.0,0.05,5000,1.0,1.0,3
2,91,1,standard,0.3,1.0,0.05,5000,1.0,1.0,11
2,92,1,standard,0.3,1.0,0.05,5000,1.0,1.0,1
2,93,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,94,1,standard,0.3,1.0,0.05,5000,1.0,1.0,6
2,95,1,standard,0.3,1.0,0.05,5000,1.0,1.0,2
2,96,1,standard,0.3,1.0,0.05,5000,1.0,1.0,5
2,97,1,standard,0.3,1.0,0.05,5000,1.0,1.0,4
2,98,1,standard,0.3,1.0,0.05,5000,1.0,1.0,10
2,99,1,standard,0.3,1.0,0.05,5000,1.0,1.0,8
2,100,1,standard,0.3,1.0,0.05,5000,1.0,1.0,3
2,1,1,standard,0.4,1.0,0.05,5000,1.0,1.0,1
2,2,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,3,1,standard,0.4,1.0,0.05,5000,1.0,1.0,9
2,4,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,5,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,6,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,7,1,standard,0.4,1.0,0.05,5000,1.0,1.0,1
2,8,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,9,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,10,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,11,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,12,1,standard,0.4,1.0,0.05,5000,1.0,1.0,9
2,13,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,14,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,15,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,16,1,standard,0.4,1.0,0.05,5000,1.0,1.0,11
2,17,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,18,1,standard,0.4,1.0,0.05,5000,1.0,1.0,12
2,19,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,20,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,21,1,standard,0.4,1.0,0.05,5000,1.0,1.0,16
2,22,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,23,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,24,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,25,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,26,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,27,1,standard,0.4,1.0,0.05,5000,1.0,1.0,6
2,28,1,standard,0.4,1.0,0.05,5000,1.0,1.0,10
2,29,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,30,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,31,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,32,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,33,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,34,1,standard,0.4,1.0,0.05,5000,1.0,1.0,9
2,35,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,36,1,standard,0.4,1.0,0.05,5000,1.0,1.0,9
2,37,1,standard,0.4,1.0,0.05,5000,1.0,1.0,8
2,38,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,39,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,40,1,standard,0.4,1.0,0.05,5000,1.0,1.0,9
2,41,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,42,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,43,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,44,1,standard,0.4,1.0,0.05,5000,1.0,1.0,8
2,45,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,46,1,standard,0.4,1.0,0.05,5000,1.0,1.0,2
2,47,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,48,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,49,1,standard,0.4,1.0,0.05,5000,1.0,1.0,11
2,50,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,51,1,standard,0.4,1.0,0.05,5000,1.0,1.0,2
2,52,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,53,1,standard,0.4,1.0,0.05,5000,1.0,1.0,9
2,54,1,standard,0.4,1.0,0.05,5000,1.0,1.0,10
2,55,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,56,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,57,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,58,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,59,1,standard,0.4,1.0,0.05,5000,1.0,1.0,2
2,60,1,standard,0.4,1.0,0.05,5000,1.0,1.0,6
2,61,1,standard,0.4,1.0,0.05,5000,1.0,1.0,11
2,62,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,63,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,64,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,65,1,standard,0.4,1.0,0.05,5000,1.0,1.0,6
2,66,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,67,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,68,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,69,1,standard,0.4,1.0,0.05,5000,1.0,1.0,7
2,70,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,71,1,standard,0.4,1.0,0.05,5000,1.0,1.0,4
2,72,1,standard,0.4,1.0,0.05,5000,1.0,1.0,3
2,73,1,standard,0.4,1.0,0.05,5000,1.0,1.0,1
2,74,1,standard,0.4,1.0,0.05,5000,1.0,1.0,5
2,75,1,standard,0.4,1.0,0.05,5000,1.0,1.0,8
2,76,1,standard,0.4,1.0,0.05,5000,1.0,1.0,11
2,77,1,standard,0.4,1.0,0.05,5000,1.0,1.0,9
